productname,price,description,amount,category,link
Arai Contour-X Helmet,749.95,"""As with every Arai, the Contour-X is formed around protection, first and foremost. Manufactured by hand, the outer shell maintains core strength but with a substantial weight reduction. The smooth, round shape is a key Arai signature and primarily designed to ‘glance-off’ and spread impact forces. Each Arai helmet goes through five separate quality-control departments: after the shell is made, after painting and graphic completion, after assembly and two in-process inspections; so you can be confident you're getting the best of the best!""",74,Helmets,https://www.revzilla.com/motorcycle/arai-contour-x-helmet
AGV K6 S Helmet,549.95,"""The K6 S is a feature-rich featherweight helmet that packs a punch! Designed with technologies developed for professional MotoGP riders yet suitable for sport, touring and commuting riders alike. The carbon aramid fiber shell is lightweight and its shape was designed to reduce turbulence and optimized for all riding positions. The eyeport has expansive field of view and the included anti-scratch face shield comes equipped with an anti-fog Max Vision Pinlock lens, so you can see every turn ahead. """,32,Helmets,https://www.revzilla.com/motorcycle/agv-k6-s-helmet
Sedici Strada II Parlare Bluetooth Helmet,399.99,"""The Sedici Strada 2 Parlare Helmet picks up where the previous generation left off to deliver performance and protection for any rider. A proprietary blend of fiberglass and aramid fiber creates a strong lightweight shell. Three distinct shell sizes are an upgrade from the previous generation and make sure that the helmet you pick fits like a low profile lid. The shell's aerodynamics reduce lift and turbulence at speed so you can focus on the road ahead. The dual density EPS liner features cut out channels to help direct airflow through the helmet for excellent ventilation.""",12,Helmets,https://www.revzilla.com/motorcycle/sedici-strada-2-parlare-helmet
Shoei X-15 Helmet,919.99,"""Shoei developed the X-15 with technologies born from racing with one mission in mind, to make the fastest riders on the planet even faster. By designing and refining the X-15 helmet in their state-of-the-art wind tunnel facility, Shoei was able to reduce drag by 6.1% and lift by 1.6% compared to it's predecessor the X-14. The X-15 features a Multi-Ply Advanced Integrated Matrix Plus (AIM+) Shell, a six-ply matrix of fiberglass with lightweight organic and high-performance fibers to provide optimal impact-absorption, strength and elasticity. Packed in the X-15's shell is a multitude of features fit for a pro and ready to boost your performance, safety and comfort.""",14,Helmets,https://www.revzilla.com/motorcycle/shoei-x-15-helmet
Schuberth C5 Helmet,769,"""The Schuberth C5 Helmet is the newest ""C"" helmet that continues to blend safety, superior aerodynamics and a light design. The unmistakable German engineering and radical, compact shell design of the Schuberth C5 set a new standard for premium modular touring helmets. Featuring a new liner and the same 2 shell sizes (XS-LG, XL-3XL), the lean form of the Schuberth C5 Helmet has been extensively optimized for both stability at speed and low weight to minimize fatigue on long tours. Discover a riding experience similar to sitting in the cabin of a luxury German sports car. The Schuberth C5 Helmet is designed for riders who accept only the best, and can appreciate the difference.""",15,Helmets,https://www.revzilla.com/motorcycle/schuberth-c5-helmet
Michelin Road 6 Tires,189.71,"""Michelin's Road 6 Tire stacks yet another layer to the legendary lineage of the Road's core fundamentals to deliver a tire that's just as willing to chomp through corners as it is to munch on miles, rain or shine. The front and rear options of the Road 6 are now fitted with Michelin's 2CT+ Tech, which provides better rigidity at lean, resulting in more stability through the corners. Michelin blended their Silica Technology™ tread compound with the Water Evergrip Tech™ tread pattern for gains of 15% more wet grip than the Road 5, while also having a 10% increase in tread life than the predecessor. The Road 6 Tires from Michelin typifies two decades of ongoing innovation to present the best all-around tire for your street bike.""",6,Tires,https://www.revzilla.com/motorcycle/michelin-road-6-tires
Pirelli Diablo Rosso III Tires,256.58,"""Pirelli infuses technology from the World Superbike Championship into their Diablo Rosso 3 tires. Designed with unprecedented handling this is the evolution of sport riding.""",7,Tires,https://www.revzilla.com/motorcycle/pirelli-diablo-rosso-iii-tires
Metzeler Sportec M9 RR Tires,258.5,"""Metzeler's simple tagline for the M9 RR hints at this tire's wide range of talents. Hypersport motorbikes bring the power (for sure). The M9 RR Tires bring the versatility. Your daily commute, favorite canyon road or weekend trip offer a set of riding conditions more unpredictable than an average afternoon at the track. The M9 RR Tires answer the needs of riders who'll take their miles however they can get them - from city streets to back roads to long interstates highways. Track days, too.""",23,Tires,https://www.revzilla.com/motorcycle/metzeler-sportec-m9-rr-tires
Pirelli Diablo Rosso II Tires,280.9,"""Pirelli is proud to introduce the next evolution of the beloved Diablo Rosso Corsa hypersport tire, the Diablo Rosso Corsa 2. It features a redesigned tread pattern that improves warm up and grip in dry and even wet conditions. Riding a hypersport tire in the wet was once unheard of, but thanks to Pirelli's silica and black carbon nanotechnology it is now possible. The internal structure of Pirelli Diablo Rosso Corsa II has also been upgraded using everything that Pirelli has learned from the past decade racing in WSBK. This means you can expect improved handling, acceleration, cornering and braking to match the demands of your high-performance motorcycle. All of this combined leads to a much more confident ride and more importantly, a bigger smile on the rider's face. The Pirelli Diablo Rosso Corsa II Tires are ready to take the throne of becoming the most beloved hypersport tire on the market for the next decade - will you be ready?""",12,Tires,https://www.revzilla.com/motorcycle/pirelli-diablo-rosso-corsa-ii-tires
Metzeler Roadtec 01 Tires,221.26,"""The Metzeler Road Tec 01 Tires represent the latest evolution in touring tires - enhanced grip on wet surfaces, increased mileage, and a high degree of compatibility with different motorcycles.
""The Metzeler Road Tec 01 Tires represent the latest evolution in touring tires - enhanced grip on wet surfaces, increased mileage, and a high degree of compatibility with different motorcycles.
""The Metzeler Road Tec 01 Tires represent the latest evolution in touring tires - enhanced grip on wet surfaces, increased mileage, and a high degree of compatibility with different motorcycles.
The Metzeler Road Tec 01 Tires represent the latest evolution in touring tires - enhanced grip on wet surfaces, increased mileage, and a high degree of compatibility with different motorcycles.
The Metzeler Road Tec 01 Tires represent the latest evolution in touring tires - enhanced grip on wet surfaces, increased mileage, and a high degree of compatibility with different motorcycles.""",24,Tires,https://www.revzilla.com/motorcycle/metzeler-roadtec-01-tires
K&N Air Filter,166.99,"""K&N Air Filters are designed to achieve a virtually unrestricted air flow while maintaining filtration levels critical to engine life. The secret to their success lies in the unique characteristics of the filter medium which was originally developed by K&N all those years ago in the dust, sweat and tears of desert motocross racing.""",15,Air Filter,https://www.revzilla.com/motorcycle/kn-air-filters
BMC Air Filter,251.95,"""BMC Air Filters are manufactured using a proprietary molding process that yields a truly seamless part. The characteristic red rubber is very pliable and conformable to ensure an airtight seal within your air box. Low viscosity oil saturates multi-layered cotton elements to filter out particulates down to 7 microns yet overall flow is increased in comparison to OEM paper elements. Maximize the efficiency of the air entering your engine to maximize the power coming out of your engine. Keep your bike breathing and performing at its peak with BMC Air Filters!""",5,Air Filter,https://www.revzilla.com/motorcycle/bmc-air-filter
Twin Air Air Filter,94.95,"""Every Twin Air filter is constructed from two layers of open-pore foam which are bonded together to provide maximum filtration and superior airflow. A coarse-foam outer shell is flame laminated with a fine-foam inner core, resulting in a one-piece design that is both functional and durable. Twin Air filters are also designed to increase air volume around the filter to improve airflow into the intake. More air means more power for your engine. Flow bench tests have proven that Twin Air filters provide increased airflow while reducing the filters tendency to clog.""",7,Air Filter,https://www.revzilla.com/motorcycle/twin-air-air-filter
K&N Race Air Filter,127.99,"""K&N Race Air Filters are designed to achieve a virtually unrestricted air flow while maintaining filtration levels critical to engine life and performance. The secret to their success lies in the unique characteristics of the filter medium which was originally developed by K&N all those years ago in the dust, sweat and tears of desert motocross racing.""",8,Air Filter,https://www.revzilla.com/motorcycle/kn-race-air-filters
K&N Oil Filters,18.99,"""K&N Oil Filters are designed to satisfy the needs of racers and engine builders as well as the average motorcycle or ATV / UTV owner who wants the best oil filter available. K&N Oil Filters feature synthetic medias that trap 99% of harmful contaminants without compromising oil flow rates.""",9,Oil Filter,https://www.revzilla.com/motorcycle/kn-oil-filters
Yamaha Oil Filter,20.7,"""Yamaha Genuine OEM Oil Filters""",3,Oil Filter,https://www.revzilla.com/motorcycle/yamaha-oil-filter
Motopro Oil Filters,16.99,"""Media - Sourced from the leading mills of the world. Designed to provide optimum levels of life and efficiency incorporating characteristics to enhance contaminant removal and retention""",2,Oil Filter,https://www.revzilla.com/motorcycle/motopro-oil-filters
EBC Double-H Sintered Front Brake Pads,68.36,"""The vast majority of motorcycles come from the factory with Sintered Brake Pads. Sintered pads are almost entirely metallic and are fused using heat and pressure, resulting in a resilient and porous material that delivers consistent performance across the pad’s usable temperature range and in all weather conditions.

EBC’s sintered pads deliver a much stronger initial bite than organic pads due to their high coefficient of friction and will last much longer thanks to their almost entirely metal construction. Unlike many sintered pads, Double-Hs do not contain any iron powder, eliminating the chance of a pad welding itself to the disc under corrosion.""",5,Brakes,https://www.revzilla.com/motorcycle/ebc-double-h-sintered-front-brake-pads
Galfer Wave Rotor Front,320,"""Galfer Wave Brake Rotors are laser cut from a proprietary high-carbon 420 Stainless Steel that has been heat treated and parallel diamond ground to ensure a perfect surface. The rotors float on an 7071 Aluminum center carrier to ensure optimum pad to rotor contact for maximum stopping force and feel. The vented slots keep the brake system cooler by allowing air to pass over the entire surface of the pad. In wet weather riding conditions the same vented slots help remove water from the rotor. These rotors require no additional spacers or hardware and bolt directly in place of your OEM brake rotors.""",17,Brakes,https://www.revzilla.com/motorcycle/galfer-wave-rotors-front
Spiegler Front And Rear Brake Line Kit,713.95,"""Spiegler brake lines reduce line swell for better performance and a more consistent feel. Expansion reduction translates into greater durability and increased longevity. Banjo fittings feature a unique torsion design that enables 180 degrees of axial rotation for precise alignment and to prevent line twisting. Spiegler lines are designed and manufactured in the USA and carry a lifetime warranty.""",15,Brakes,https://www.revzilla.com/motorcycle/spiegler-front-and-rear-brake-line-kit
Brembo SuperSport Brake Rotors,775,"""The Brembo SuperSport Brake Rotors were developed with the goal of offering the very best high performance brake rotor for both European and Japanese sportbikes. Designed for use on either the street or track, these rotors will surely outperform anything else on the market. Under high stress a rotor can overheat and warp, transferring excess heat to the braking system causing it to wear out prematurely or fail entirely. The SuperSport Rotor’s friction surface is made of tempered martensitic steel which is capable of withstanding extreme thermo-mechanical stresses leading to more consistent performance over its lifecycle.""",7,Brakes,https://www.revzilla.com/motorcycle/brembo-supersport-brake-rotors
Akrapovic Slip-On Exhausts,2636.96,"""The Akrapovic Slip-On Exhaust represents the first step into the world of exhaust system tuning. By no means entry level, it offers a great balance between price and performance. Each bespoke exhaust is designed to enhance the performance and match the design philosophy of your motorcycle. Transform the nature of your bike by adding not just more power, but also that unique, deep and resonant Akrapovic sound. Whether your choices are carbon fiber or titanium, you can be sure that every step in the R&D, design and manufacturing processes of each exhaust has been performed by a team of highly skilled and experienced engineers.""",9,Exhausts,https://www.revzilla.com/motorcycle/akrapovic-slip-on-exhausts
Akrapovic Racing Exhaust Systems,2097.19,"""The Akrapovic Racing Line has been designed specifically for demanding riders and represents an ideal balance between price and performance. The exhaust systems are dramatically lighter compared to stock exhaust systems and feature exceptional production quality and increased engine performance combined with pure racing sound output. The headers and mid-pipes are constructed of high-quality stainless steel conical tubes with precision handcrafting. A special process known as hydroforming is used in the manufacturing of the exhaust pipes. This process injects pressurized water into each tube to form the ideal shape for optimum exhaust flow without causing creases or compromising the strength of the steel.""",7,Exhausts,https://www.revzilla.com/motorcycle/akrapovic-racing-exhaust-systems
LeoVince LV-10 Slip-On Exhaust,1249.95,"""The LV-10 Exhaust is the culmination of Leo Vince's years of experience at the highest levels of racing. The LV-10 features extremely compact dimensions that work to reduce weight while offering exceptional performance and the unmistakable Leo Vince sound. The muffler features a gorgeous matte finish and a sandblasted end cap with a stainless steel mesh outlet covering that gives the LV-10 a decidedly MotoGP look.""",3,Exhausts,https://www.revzilla.com/motorcycle/leovince-lv-10-slip-on-exhaust
